uf;municipio_cod;municipio_nome;escola_cod;escola_nome;ideb
RO;1100114;Jaru;11012684;EEEFM RAIMUNDO CANTANHEDE;3,8
RO;1100114;Jaru;11012994;EEEFM PLACIDO DE CASTRO;4
RO;1100122;Ji-Paraná;11013141;COLEGIO ULBRA SAO PAULO;5,4
RO;1100122;Ji-Paraná;11013737;COLEGIO ADVENTISTA DE JI-PARANA;5,2
RO;1100122;Ji-Paraná;11014156;EEEFM JANETE CLAIR;3,6
RO;1100122;Ji-Paraná;11014300;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;2,2
RO;1100122;Ji-Paraná;11014431;EEEFM MARCOS BISPO SILVA;4
RO;1100122;Ji-Paraná;11015500;EEEFM TUPA;-
RO;1100122;Ji-Paraná;11015608;EEEFM ALUIZIO FERREIRA;3,7
RO;1100122;Ji-Paraná;11015616;EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA;4,2
RO;1100122;Ji-Paraná;11015624;EEEFM GONCALVES DIAS;4,9
RO;1100122;Ji-Paraná;11015632;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IV;3,4
RO;1100122;Ji-Paraná;11015667;EEEFM LAURO BENNO PREDIGER;-
RO;1100122;Ji-Paraná;11015683;EEEFM PROF JOSE FRANCISCO DOS SANTOS;3,7
RO;1100122;Ji-Paraná;11015896;ESCOLA FAMILIA AGRICOLA ITAPIREMA;-
RO;1100122;Ji-Paraná;11016094;IEE MARECHAL RONDON;-
RO;1100155;Ouro Preto do Oeste;11016507;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;3,9
RO;1101435;Nova União;11017120;EEEFM MARIA GORETTI;3,4
RO;1101559;Teixeirópolis;11017384;EEEFM PIONEIRA;4
RO;1100155;Ouro Preto do Oeste;11017422;EEEFM MARIA DE MATOS E SILVA;-
RO;1100155;Ouro Preto do Oeste;11017775;EEEFM 28 DE NOVEMBRO;3,3
RO;1100155;Ouro Preto do Oeste;11017791;EEEFM JOAQUIM DE LIMA AVELINO;-
RO;1100254;Presidente Médici;11018089;EEEFM CARLOS DRUMOND DE ANDRADE;4,8
RO;1100254;Presidente Médici;11018216;EEEFM DONA BENTA;-
RO;1100254;Presidente Médici;11018267;EEEFM EMBURANA;3,2
RO;1100254;Presidente Médici;11018810;EEEFM PROF PAULO FREIRE;-
RO;1100254;Presidente Médici;11018950;EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI;4,4
RO;1101005;Governador Jorge Teixeira;11019115;EEEFM CLAUDIO MANOEL DA COSTA;3,5
RO;1101005;Governador Jorge Teixeira;11019140;EEEFM COSTA JUNIOR;4,4
RO;1101302;Mirante da Serra;11019948;EEEFM MIGRANTES;-
RO;1101302;Mirante da Serra;11019956;INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL;4,9
RO;1101609;Theobroma;11020326;EEEFM PRIMAVERA;3,9
RO;1101708;Urupá;11020504;EEEFM ALTAMIR BILLY SOARES;-
RO;1101807;Vale do Paraíso;11021403;EEEFM TUBARAO;4
RO;1100148;Nova Brasilândia D'Oeste;11022221;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;-
RO;1100320;São Miguel do Guaporé;11022981;EEEFM PRINCESA ISABEL;-
RO;1100346;Alvorada D'Oeste;11023660;EEEFM JOAQUIM XAVIER DE OLIVEIRA;3,9
RO;1100346;Alvorada D'Oeste;11023678;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO SANTA ANA;3,8
RO;1101500;Seringueiras;11024097;EEEFM OSWALDO PIANA;4,3
RO;1100379;Alto Alegre dos Parecis;11024437;EEEFM ARTUR DA COSTA E SILVA;4,1
RO;1100015;Alta Floresta D'Oeste;11024968;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;5
RO;1100015;Alta Floresta D'Oeste;11025638;EEEFM PADRE EZEQUIEL RAMIN;3,4
RO;1100049;Cacoal;11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;5,1
RO;1100049;Cacoal;11026197;EEEFM CARLOS DRUMMOND DE ANDRADE;-
RO;1100049;Cacoal;11026278;EEEFM CORA CORALINA;4
RO;1100049;Cacoal;11027290;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;4,8
RO;1100049;Cacoal;11027347;EEEFM CLODOALDO NUNES DE ALMEIDA;-
RO;1100049;Cacoal;11027355;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;3,6
RO;1100049;Cacoal;11027401;EEEFM CELSO FERREIRA DA CUNHA;-
RO;1100098;Espigão D'Oeste;11027754;EEEFM JEAN PIAGET;-
RO;1100098;Espigão D'Oeste;11028424;EEEMTI 7 DE SETEMBRO;5,1
RO;1100288;Rolim de Moura;11028750;EEEFM CARLOS DRUMOND DE ANDRADE;3,7
RO;1100288;Rolim de Moura;11029056;EEEFM JOSE ROSALES DOS SANTOS;4,5
RO;1100288;Rolim de Moura;11029110;EEEFM MARIA DO CARMO DE OLIVEIRA RABELO;4,9
RO;1100288;Rolim de Moura;11029170;EEEFM NILSON SILVA;4,9
RO;1100288;Rolim de Moura;11029307;EEEFM PRISCILA RODRIGUES CHAGAS;4,3
RO;1100288;Rolim de Moura;11029439;EEEFM CANDIDO PORTINARI;5,2
RO;1100288;Rolim de Moura;11029455;EEEFM CEL ALUIZIO PINHEIRO FERREIRA;4,6
RO;1100288;Rolim de Moura;11029480;EEEFM TANCREDO DE ALMEIDA NEVES;4
RO;1100296;Santa Luzia D'Oeste;11029951;EEEFM JUSCELINO KUBITSCHEK;4,2
RO;1100502;Novo Horizonte do Oeste;11030003;EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO;-
RO;1100502;Novo Horizonte do Oeste;11030372;EEEFM MARECHAL CANDIDO RONDON;4
RO;1100908;Castanheiras;11030666;EEEFM FRANCISCA JULIA DA SILVA;4,3
RO;1101203;Ministro Andreazza;11031298;EEEFM NILO COELHO;4,1
RO;1101450;Parecis;11031689;EEEFM BENEDITO LAURINDO GONCALVES;-
RO;1101484;São Felipe D'Oeste;11031964;EEEFM FELIPE CAMARAO;-
RO;1101476;Primavera de Rondônia;11032189;EEFM JOSE SEVERINO DOS SANTOS;4,6
RO;1100189;Pimenta Bueno;11032260;EEEFM MARECHAL CORDEIRO DE FARIAS;-
RO;1101484;São Felipe D'Oeste;11032359;EEEFM MONTEIRO LOBATO;-
RO;1100189;Pimenta Bueno;11033070;EEEFM RAIMUNDO EUCLIDES BARBOSA;-
RO;1100304;Vilhena;11033215;CENTRO EDUCACIONAL ISOLINA RUTTMANN;5
RO;1100304;Vilhena;11033649;E E E F M MARIA ARLETE TOLEDO;2,3
RO;1100304;Vilhena;11033797;EEEFM ALVARES DE AZEVEDO;3,6
RO;1100304;Vilhena;11033819;EEEFM MARECHAL RONDON;4
RO;1100304;Vilhena;11033835;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM V;-
RO;1100031;Cabixi;11034440;EEEFM JOSE DE ANCHIETA;-
RO;1100056;Cerejeiras;11034998;EEEM TANCREDO DE ALMEIDA NEVES;3,8
RO;1101468;Pimenteiras do Oeste;11035080;EEEFM INACIO DE CASTRO;3,4
RO;1100064;Colorado do Oeste;11035951;EEEFM MANUEL BANDEIRA;-
RO;1100064;Colorado do Oeste;11035960;EEEFM PAULO DE ASSIS RIBEIRO;-
RO;1100072;Corumbiara;11036397;EEEFM MARECHAL RONDON;-
RO;1100072;Corumbiara;11036486;E E E F M DOUTOR OSWALDO PIANA;-
RO;1100064;Colorado do Oeste;11037016;IFRO - CAMPUS COLORADO DO OESTE;4,7
RO;1100205;Porto Velho;11037474;CENTRO DE ENSINO MINEIRO;5,1
RO;1100205;Porto Velho;11038063;EEEFM ULISSES GUIMARAES;-
RO;1100452;Buritis;11039582;EEEFM MARECHAL RONDON;-
RO;1100114;Jaru;11040076;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;5,2
RO;1100205;Porto Velho;11040629;EEEFM JAYME PEIXOTO DE ALENCAR;4
RO;1100205;Porto Velho;11040688;EPEFM TERRA NOVA;4,3
RO;1100205;Porto Velho;11040793;EEEB PROF JOAO BENTO DA COSTA;-
RO;1100304;Vilhena;11041951;COOPERATIVA EDUCACIONAL DE VILHENA;-
RO;1100205;Porto Velho;11043857;COLEGIO CLASSE A;-
RO;1100288;Rolim de Moura;11045639;COLEGIO CLARICE LISPECTOR LTDA;6,7
RO;1100452;Buritis;11045914;E E E F M MARIA DE ABREU BIANCO;-
RO;1100049;Cacoal;11046740;EEEM JOSINO BRITO;-
RO;1100809;Candeias do Jamari;11046953;EEEFM ALBINO BUTTNER;-
RO;1100122;Ji-Paraná;11047208;E E E M JOVEM GONCALVES VILELA;4
RO;1100080;Costa Marques;11047216;EEEFM DARCY DA SILVEIRA;-
RO;1100130;Machadinho D'Oeste;11048018;EEEF PROFª MARIA CONCEICAO DE SOUZA;-
RO;1100338;Nova Mamoré;11048247;EEEFM PROFESSORA MARIA LAURINDA GROFF;3,5
RO;1100205;Porto Velho;11048450;EEEFM MARCELO CANDIA SUBSEDE I;4,3
RO;1100023;Ariquemes;11048620;EEEFM PROFESSORA CARMEM IONE DE ARAUJO;-
RO;1100205;Porto Velho;11048670;EEEFM PROFESSOR FRANCISCO DESMOREST PASSOS;-
RO;1100189;Pimenta Bueno;11048956;ESCOLA ESTADUAL DE EDUCACAO BASICA E PROFISSIONAL ABAITARA;4,2
RO;1100205;Porto Velho;11049073;COLEGIO OBJETIVO MAIS;-
RO;1100205;Porto Velho;11049430;COLEGIO TIRADENTES DA POLICIA MILITAR II UNIDADE JACI PARANA CTPMII;5,2
RO;1100122;Ji-Paraná;11049634;EEEFM PROFESSOR ALEJANDRO YAGUE MAYOR;4,8
RO;1100049;Cacoal;11049723;INSTITUTO EDUCACIONAL SOMA - IES;6,7
RO;1100130;Machadinho D'Oeste;11049812;EEEM VALDOMIRO FRANCISCO DE OLIVEIRA;-
RO;1100338;Nova Mamoré;11049855;EEEFM PEDRO MENDES CARDOSO;-
RO;1100023;Ariquemes;11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;-
RO;1100700;Campo Novo de Rondônia;11076801;EEEFM RUTH ROCHA;-
RO;1100924;Chupinguaia;11095806;EEEFM FRANCISCA MARTENDAL;3,8
RO;1100205;Porto Velho;11104805;EEEFM CESAR FREITAS CASSOL;-
RO;1100122;Ji-Paraná;11106808;IFRO - CAMPUS JI-PARANA;-
RO;1100924;Chupinguaia;11106859;EEEFM MOACYR CARAMELLO;-
RO;1100304;Vilhena;11106867;EEEFM SHIRLEI CERUTI;-
RO;1100304;Vilhena;11107804;IFRO - CAMPUS VILHENA;-
RO;1100023;Ariquemes;11108800;IFRO - CAMPUS ARIQUEMES;-
RO;1100205;Porto Velho;11109807;IFRO - CAMPUS PORTO VELHO CALAMA;-
RO;1100049;Cacoal;11109815;IFRO - CAMPUS CACOAL;-
RO;1100205;Porto Velho;11113804;EEEFM RAIMUNDO NONATO VIEIRA DA SILVA;-
AC;1200203;Cruzeiro do Sul;12000213;ESC ANSELMO MAIA DE CARVALHO;-
AC;1200203;Cruzeiro do Sul;12000418;ESC FLODOARDO CABRAL;-
AC;1200203;Cruzeiro do Sul;12000450;ESC CRAVEIRO COSTA;-
AC;1200203;Cruzeiro do Sul;12000906;ESC JUAREZ IBERNON;-
AC;1200203;Cruzeiro do Sul;12000914;ESC MADRE ADELGUNDES BECKER;-
AC;1200203;Cruzeiro do Sul;12000930;ESC MANOEL BRAZ DE MELO;3,7
AC;1200203;Cruzeiro do Sul;12000973;ESC MARCILIO NUNES RIBEIRO II;-
AC;1200203;Cruzeiro do Sul;12001015;ESC MARIA DE NAZARE SANTIAGO;4
AC;1200203;Cruzeiro do Sul;12001686;ESC INST ORFANOLOGICO SANTA TERESINHA;-
AC;1200336;Mâncio Lima;12001805;ESC 1º DE MAIO;-
AC;1200336;Mâncio Lima;12001945;ESC ANTONIO OLIVEIRA DANTAS;-
AC;1200336;Mâncio Lima;12002046;ESC FRANCISCO FREIRE DE CARVALHO;4
AC;1200393;Porto Walter;12003050;ESC BORGES DE AQUINO;3,2
AC;1200302;Feijó;12004197;ESC JOSE GURGEL RABELLO;3,5
AC;1200609;Tarauacá;12005711;ESC DR DJALMA DA CUNHA BATISTA;3,4
AC;1200344;Manoel Urbano;12006920;ESC NAZIRA ANUTE DE LIMA;-
AC;1200500;Sena Madureira;12007412;ESC ASSIS VASCONCELOS;-
AC;1200500;Sena Madureira;12007617;ESC DOM JULIO MATTIOLI;3,3
AC;1200138;Bujari;12009369;ESC SAO JOAO BATISTA;4,2
AC;1200179;Capixaba;12009725;ESC ARGENTINA PEREIRA FEITOSA;-
AC;1200385;Plácido de Castro;12010731;ESC SAO LUIZ GONZAGA;3,5
AC;1200401;Rio Branco;12010928;ESC COLEGIO ADVENTISTA DE RIO BRANCO;4,9
AC;1200401;Rio Branco;12010936;ESC CENTRO EDUCACIONAL E CULTURAL - META;5,6
AC;1200401;Rio Branco;12011320;ESC CAPITAO EDGAR CERQUEIRA FILHO;-
AC;1200401;Rio Branco;12011410;ESC COLEGIO DE APLICACAO UFAC;4,8
AC;1200401;Rio Branco;12011444;ESC COLEGIO ESTADUAL BARAO DO RIO BRANCO;-
AC;1200401;Rio Branco;12011517;ESC DR JOAO BATISTA AGUIAR;4,4
AC;1200401;Rio Branco;12011584;ESC ALCIMAR NUNES LEITAO;-
AC;1200401;Rio Branco;12012017;ESC HUMBERTO SOARES DA COSTA;3,8
AC;1200401;Rio Branco;12012181;ESC PROF JOSE RODRIGUES LEITE;-
AC;1200401;Rio Branco;12012297;ESC DR AUGUSTO MONTEIRO;-
AC;1200401;Rio Branco;12012360;ESC DR SANTIAGO DANTAS;3,3
AC;1200401;Rio Branco;12012556;ESC PROF HELOISA MOURAO MARQUES;-
AC;1200401;Rio Branco;12012564;ESC HENRIQUE LIMA;-
AC;1200401;Rio Branco;12012580;ESC INSTITUTO DE EDUCACAO LOURENCO FILHO;-
AC;1200401;Rio Branco;12012750;ESC LEONCIO DE CARVALHO;-
AC;1200401;Rio Branco;12012823;ESC MAJOR JOAO CANCIO;-
AC;1200401;Rio Branco;12013013;ESC LOURIVAL SOMBRA PEREIRA LIMA;-
AC;1200401;Rio Branco;12013161;ESC NOVA ESPERANCA;3,5
AC;1200401;Rio Branco;12013340;ESCOLA PRESBITERIANA JOAO CALVINO;4,4
AC;1200401;Rio Branco;12013510;ESC PROF DALVA DE SOUZA DAS NEVES;-
AC;1200401;Rio Branco;12013595;ESC SAO PEDRO I;-
AC;1200401;Rio Branco;12014001;ESC SANTO ANTONIO II;-
AC;1200807;Porto Acre;12014125;ESC UNIAO E PROGRESSO;4,4
AC;1200401;Rio Branco;12014370;ESC INSTITUTO IMACULADA CONCEICAO;5,2
AC;1200401;Rio Branco;12014389;ESC INSTITUTO SAO JOSE;4,4
AC;1200450;Senador Guiomard;12014591;ESC 15 DE JUNHO;-
AC;1200450;Senador Guiomard;12014877;ESC PADRE CARLOS CASAVEQUIA;4,7
AC;1200450;Senador Guiomard;12015172;ESC TUFI ASMAR;3,5
AC;1200807;Porto Acre;12015326;ESC CEL JOSE PLACIDO DE CASTRO;3,9
AC;1200807;Porto Acre;12015334;ESCOLA EDMUNDO PINTO DE ALMEIDA NETO;3,6
AC;1200807;Porto Acre;12015342;ESCOLA JADER SARAIVA;3,4
AC;1200054;Assis Brasil;12015946;ESC PROF IRIS CELIA CABANELLAS ZANNINI;-
AC;1200104;Brasiléia;12016284;ESC KAIRALA JOSE KAIRALA;4,3
AC;1200708;Xapuri;12017540;ESC DIVINA PROVIDENCIA;3,3
AC;1200708;Xapuri;12018163;ESC SAO MIGUEL;-
AC;1200013;Acrelândia;12018422;ESC SANTA LUCIA III;3,9
AC;1200401;Rio Branco;12019054;ESC COLEGIO PINGO DE OURO;3,3
AC;1200203;Cruzeiro do Sul;12020249;ESC DOM HENRIQUE RUTH;3,4
AC;1200401;Rio Branco;12021261;ESC COLEGIO VITORIA;-
AC;1200013;Acrelândia;12021768;ESC MARCILIO PONTES DOS SANTOS;-
AC;1200427;Rodrigues Alves;12022004;ESC FRANCISCO BRAGA DE SOUZA;3,8
AC;1200401;Rio Branco;12022969;ESC ASSOCIACAO MODELAR DE ENSINO A M E;5,7
AC;1200179;Capixaba;12023396;ESC NOVA ESPERANCA;-
AC;1200385;Plácido de Castro;12023779;ESC JOAO RICARDO DE FREITAS;-
AC;1200351;Marechal Thaumaturgo;12026328;ESC ELVIRA FERREIRA GOMES;3,5
AC;1200401;Rio Branco;12026409;ESC COLEGIO ALTERNATIVO DO ACRE LTDA;6
AC;1200401;Rio Branco;12026530;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO;4,7
AC;1200104;Brasiléia;12026948;ESC VALERIA BISPO SABALA;3,9
AC;1200401;Rio Branco;12027340;ESC LOURIVAL PINHO;3,2
AC;1200401;Rio Branco;12027758;ESC GLORIA PEREZ;-
AC;1200401;Rio Branco;12028037;ESC JORNALISTA ARMANDO NOGUEIRA;-
AC;1200435;Santa Rosa do Purus;12028851;ESC PADRE PAOLINO MARIA BALDASSARI;2,8
AC;1200401;Rio Branco;12028860;ESC JOSE RIBAMAR BATISTA;4,3
AC;1200401;Rio Branco;12030058;ESC DE ENSINO MEDIO E TECNICO PLACIDO DE CASTRO;6
AC;1200328;Jordão;12030155;ESC JAIRO DE FIGUEIREDO MELO;-
AC;1200179;Capixaba;12030899;ESC ARISTON FERREIRA DA CUNHA;3,7
AC;1200203;Cruzeiro do Sul;12030937;IFAC - CAMPUS CRUZEIRO DO SUL;-
AC;1200500;Sena Madureira;12030945;IFAC - CAMPUS SENA MADUREIRA;3,9
AC;1200708;Xapuri;12030953;IFAC - CAMPUS XAPURI;4,3
AC;1200401;Rio Branco;12030961;IFAC - CAMPUS RIO BRANCO;-
AC;1200252;Epitaciolândia;12031674;ESC BELO PORVIR;-
AC;1200401;Rio Branco;12031682;ESC COLEGIO SIGMA;-
AC;1200401;Rio Branco;12032093;IFAC - CAMPUS AVANCADO RIO BRANCO BAIXADA DO SOL;-
AC;1200401;Rio Branco;12032166;ESC PROF RAIMUNDA SILVA PARA;-
AC;1200609;Tarauacá;12032441;IFAC - CAMPUS TARAUACA;3,2
AC;1200401;Rio Branco;12044636;ESC PROF PEDRO MARTINELLO;3
AC;1200401;Rio Branco;12044822;ESC SEBASTIAO PEDROSA;-
AC;1200401;Rio Branco;12052221;ESC PROF CLICIA GADELHA;2,7
AC;1200401;Rio Branco;12091260;ESC BOA UNIAO ENSINO JOVEM;3,8
AM;1300409;Barcelos;13000136;ESCOLA ESTADUAL PE JOAO BADALOTTI;-
AM;1300409;Barcelos;13000411;ESCOLA ESTADUAL SAO FRANCISCO DE SALES;4,4
AM;1303601;Santa Isabel do Rio Negro;13000837;ESCOLA ESTADUAL PE JOSE SCHNEIDER;3,2
AM;1303809;São Gabriel da Cachoeira;13001337;ESCOLA ESTADUAL DOM JOAO MARCHESI;3,3
AM;1303809;São Gabriel da Cachoeira;13001345;ESCOLA ESTADUAL DOM MASSA;-
AM;1303809;São Gabriel da Cachoeira;13001388;ESCOLA ESTADUAL SAGRADO CORACAO;2,7
AM;1303809;São Gabriel da Cachoeira;13001396;ESCOLA ESTADUAL SAO GABRIEL;3
AM;1303809;São Gabriel da Cachoeira;13002180;ESCOLA ESTADUAL DUQUE DE CAXIAS;-
AM;1303809;São Gabriel da Cachoeira;13002368;ESCOLA ESTADUAL IMACULADA CONCEICAO;-
AM;1303809;São Gabriel da Cachoeira;13002694;ESCOLA ESTADUAL TENENTE ANTONIO JOAO;-
AM;1303809;São Gabriel da Cachoeira;13002880;ESCOLA ESTADUAL Nª Sª DA ASSUNCAO;-
AM;1302108;Japurá;13003216;ESCOLA ESTADUAL DUQUE DE CAXIAS;-
AM;1302801;Maraã;13004255;ESCOLA ESTADUAL BENTA SOLART;-
AM;1300607;Benjamin Constant;13005081;ESCOLA ESTADUAL NOSSA SENHORA DA IMACULADA CONCEICAO;-
AM;1301605;Fonte Boa;13006614;ESCOLA ESTADUAL WALDEMARINA FERREIRA;-
AM;1302306;Jutaí;13007203;ESCOLA ESTADUAL PE JOAO VAN DEN;2,9
AM;1303700;Santo Antônio do Içá;13007351;ESCOLA ESTADUAL SANTO ANTONIO;2,9
AM;1303700;Santo Antônio do Içá;13007521;ESCOLA ESTADUAL PRESIDENTE VARGAS;2,9
AM;1303908;São Paulo de Olivença;13007572;ESCOLA ESTADUAL Nª Sª DA ASSUNCAO;3,1
AM;1303908;São Paulo de Olivença;13007734;ESCOLA ESTADUAL MONSENHOR EVANGELISTA CEFALONIA;3,2
AM;1304062;Tabatinga;13007874;ESCOLA ESTADUAL DUQUE DE CAXIAS;-
AM;1304062;Tabatinga;13008196;ESCOLA ESTADUAL ALMIRANTE TAMANDARE;-
AM;1304062;Tabatinga;13008200;ESCOLA ESTADUAL MARECHAL RONDON;-
AM;1304237;Tonantins;13008455;ESCOLA ESTADUAL SAO FRANCISCO;3,1
AM;1301001;Carauari;13008552;ESCOLA ESTADUAL OSVALDO NASCIMENTO;3,6
AM;1301407;Eirunepé;13009010;ESCOLA ESTADUAL NOSSA SENHORA DAS DORES;3,1
AM;1301803;Ipixuna;13011413;ESCOLA ESTADUAL ARMANDO DE SOUZA MENDES;-
AM;1301951;Itamarati;13012096;ESCOLA ESTADUAL FRANCIDENE SOARES BARROSO;3,3
AM;1300029;Alvarães;13012533;ESCOLA ESTADUAL PROF JOHANNES PETRUS;2,7
AM;1304203;Tefé;13013076;CENTRO EDUCACIONAL GOVERNADOR GILBERTO MESTRINHO;3,9
AM;1304203;Tefé;13013246;ESCOLA ESTADUAL FREI ANDRE DA COSTA;2,9
AM;1304203;Tefé;13013742;ESCOLA ESTADUAL AMELIA LIMA;2,7
AM;1304203;Tefé;13013793;ESCOLA ESTADUAL GETULIO VARGAS;-
AM;1304203;Tefé;13013815;ESCOLA ESTADUAL NOSSA SENHORA DAS GRACAS;3,3
